iter	Passed	Remaining
246	720	2197
247	723	2195
248	726	2192
249	729	2187
250	732	2184
251	735	2181
252	737	2178
253	740	2175
254	743	2172
255	746	2168
256	748	2165
257	751	2162
258	754	2159
259	757	2155
260	760	2152
261	762	2149
262	765	2145
263	768	2142
264	771	2139
265	774	2136
266	777	2133
267	779	2130
268	782	2126
269	785	2123
270	787	2119
271	790	2115
272	793	2113
273	796	2111
274	799	2107
275	802	2104
276	804	2100
277	807	2098
278	810	2095
279	813	2092
280	816	2089
281	819	2086
282	821	2082
283	824	2078
284	827	2075
285	830	2072
286	833	2069
287	835	2066
288	838	2062
289	841	2059
290	844	2056
291	846	2052
292	849	2049
293	851	2045
294	854	2042
295	857	2039
296	859	2035
297	862	2031
298	865	2028
299	868	2026
300	871	2022
301	873	2019
302	876	2016
303	880	2014
304	883	2012
305	885	2008
306	888	2005
307	891	2002
308	893	1998
309	896	1995
310	900	1994
311	903	1992
312	906	1989
313	909	1986
314	912	1983
315	914	1980
316	918	1978
317	921	1975
318	923	1972
319	926	1969
320	929	1966
321	932	1963
322	936	1961
323	938	1958
324	941	1955
325	944	1952
326	947	1949
327	950	1946
328	953	1943
329	957	1943
330	960	1940
331	963	1938
332	965	1934
333	969	1932
334	971	1929
335	975	1927
336	978	1924
337	981	1921
338	984	1919
339	987	1916
340	989	1912
341	992	1910
342	995	1906
343	998	1903
344	1000	1900
345	1003	1897
346	1006	1893
347	1009	1890
348	1012	1888
349	1015	1885
350	1017	1881
351	1020	1878
352	1023	1875
353	1026	1872
354	1029	1870
355	1032	1867
356	1035	1864
357	1038	1861
358	1041	1859
359	1043	1855
360	1046	1852
361	1049	1849
362	1052	1846
363	1055	1844
364	1059	1842
365	1061	1839
366	1064	1836
367	1067	1833
368	1070	1830
369	1073	1827
370	1076	1825
371	1079	1822
372	1082	1819
373	1085	1816
374	1087	1813
375	1090	1810
376	1093	1807
377	1096	1804
378	1099	1801
379	1102	1798
380	1105	1795
381	1107	1791
382	1110	1789
383	1113	1786
384	1116	1783
385	1119	1780
386	1122	1777
387	1125	1774
388	1128	1772
389	1131	1769
390	1134	1766
391	1137	1763
392	1140	1760
393	1143	1758
394	1145	1754
395	1148	1752
396	1151	1749
397	1154	1746
398	1157	1743
399	1161	1741
400	1164	1738
401	1166	1735
402	1169	1733
403	1172	1730
404	1175	1727
405	1178	1724
406	1181	1721
407	1184	1718
408	1186	1715
409	1189	1711
410	1192	1708
411	1195	1705
412	1197	1702
413	1200	1699
414	1203	1696
415	1207	1694
416	1210	1691
417	1212	1688
418	1215	1685
419	1218	1682
420	1221	1679
421	1224	1676
422	1227	1673
423	1229	1670
424	1232	1667
425	1235	1664
426	1238	1662
427	1241	1659
428	1244	1656
429	1247	1653
430	1250	1650
431	1252	1647
432	1255	1644
433	1258	1641
434	1261	1638
435	1264	1635
436	1267	1632
437	1269	1629
438	1272	1626
439	1275	1623
440	1278	1620
